setor,lpa,lucro_liquido,divida_bruta_ativo,liquidez_corrente,liquidez_geral,rentabilidade_ativo,roe,margem_ebit,caixa_operacional,caixa_investimento,pandemia,variacao_valor_mercado
10,0.78235576463341,0.0928177523911579,0.017199786960744385,0.05555555555555556,0.04166666666666667,0.9892247569174313,0.0265420520809668,0.45030554922948446,0.054470667586971125,0.7855323080074649,1,0.5965
10,0.7823434922750314,0.09281736520254176,0.02252576835113882,0.0784313725490196,0.052083333333333336,0.9892080262559846,0.026075901345494625,0.4504573749335762,0.05447146702455906,0.784219168789647,1,-0.5045
10,0.7823257226174383,0.09281678434013646,0.019204862307716408,0.0784313725490196,0.0625,0.9892038435906229,0.025552670928127894,0.45042890761405896,0.054471076162819966,0.8059778204152249,0,0.15
10,0.7823038506779029,0.09281567224525794,0.01886023998245559,0.09477124183006536,0.0625,0.9891919927054315,0.024667935858762334,0.4504099294010475,0.05866166824466622,0.8059846184969475,0,6.9883
10,0.783642591332699,0.09281967743328384,0.008678216736113286,0.052287581699346414,0.10416666666666667,0.9892087233668782,0.025685856852548518,0.4489865634251878,0.05446700167324482,0.8466417658510247,1,-0.3292
10,0.7575450134266963,0.03062170182294406,0.022776402769510325,0.00980392156862745,0.04166666666666667,0.9889124512370928,0.025505190146071943,0.445798223639262,0.03148954920648544,0.8059838352981079,1,-0.6933
10,0.7779928351809422,0.08187274991385211,0.02719383439330806,0.006535947712418302,0.03125,0.9891418007210914,0.025284567662269185,0.44601647308889386,0.054469151240666445,0.8059983494649996,0,-0.9999
10,0.7838912199673495,0.1327069412578139,0.003195588834236661,0.052287581699346414,0.09375,0.9895307885997271,0.02521080168670079,0.44910043270325656,0.04133903476671134,0.8272612228148961,0,1510.6542
10,0.7823299542273104,0.09281663566710684,0.016040602775776184,0.03594771241830066,0.020833333333333336,0.9891947811490059,0.024962847548550854,0.4496792682001062,0.054471454533983034,0.7801113316977679,1,-0.3068
10,0.7823291420479096,0.09281656541062235,0.016385225101036998,0.042483660130718956,0.04166666666666667,0.9892010551470484,0.025314838920233926,0.4496792682001062,0.05447090211660141,0.8059878492186133,1,-0.559
